,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity_normalized,diameter,contrast_normalized
108,2.77979913849931,0.0279011547335895,77.17412288214099,88.4816365128946,88.4816365128946,76.3239935783757,7,7.0,0.0734752080726393,7.96912156785129,0.546049327418085
1795,3.53702484223971,0.0879716981239873,66.5540280630443,54.5743310669878,66.5540280630443,54.5743310669878,8,8.0,0.196561315262534,8.40183056717429,0.785929916837895
878,3.12489182224048,0.0456476224178267,56.5147415973236,58.258644230805395,59.726760698290995,56.5147415973236,6,6.0,0.101217741688567,9.293088428236288,0.260845239683456
460,3.5496987725706695,0.328631544673178,8.95096461283843,8.94427190999916,13.9760514772884,7.14142842854285,6,6.0,0.112597024127833,10.5167151135022,0.196806664476526
66,2.46152582288348,0.0682447492505057,69.065186599328,75.62017101756491,75.62017101756491,67.2334405201624,9,12.0,0.0640671182099855,8.79248267435568,0.577603790522387
866,2.00321844477057,0.050769705981443,58.3506809894595,56.93234149822,60.579003754182395,56.93234149822,3,7.0,0.100607217808503,12.1569190754795,0.269141003459004
3653,2.5164345114587303,0.0811743104575439,33.0641823386192,26.195894985778104,33.5743071575748,26.195894985778104,5,5.0,0.0962736873846111,8.28643740757147,0.284322944364418
1737,1.20732208967454,0.016316980020633,75.4193526192222,75.5314214422094,77.64455194744441,75.4193526192222,4,5.0,0.0638422628884077,8.76630505118952,0.20995505324505
158,4.15278392972386,0.0252913030813934,85.8894638474359,82.41266447892909,85.8894638474359,78.4365408872062,5,5.0,0.0992364973527908,8.85786226005681,0.356438820346467
193,3.12631674474237,0.146480377455075,46.2674343741179,22.8854222361941,46.2674343741179,16.4396213346415,11,11.0,0.217204079327348,6.95169565834075,0.796003473903184
270,2.23277147285989,0.0846729750909806,11.3782149002685,17.9769369054711,17.9769369054711,11.3782149002685,3,6.0,0.0717166031015961,9.634846062531471,0.141866646824814
439,3.82258711387847,0.0757679493541353,11.5514076991328,12.649110640673499,15.5457196134304,8.977191612378538,7,7.0,0.117076744430359,10.4036620760895,0.35484112666624
495,2.7363564641008504,0.337735773899982,21.944111717497,15.0849570857759,21.944111717497,8.67107248325596,9,9.0,0.0823220435912576,8.95997669986148,0.148953141839011
503,1.79875241933756,0.077594297097359,10.865242236357501,15.5595965865575,17.824729248260397,10.865242236357501,4,6.0,0.042198456999249505,8.91769530428756,0.2126081942019
588,2.53891029343339,0.401992461554585,25.4672410693249,11.6619037896906,25.4672410693249,10.6931090179928,10,10.0,0.161465258572025,10.1540979706403,0.321435365867139
623,2.82495981654921,0.350897593203022,12.6175788814308,9.05538513813742,18.900634327131698,6.5290554350361,8,8.0,0.125838577223563,9.735549546758492,0.19213151454357
637,4.02603854591037,0.639665872418417,28.205403978799897,11.909028681277599,28.205403978799897,9.58556793089541,11,11.0,0.101734405166097,9.82184893445993,0.274150512526606
668,3.5515114292172902,0.204102424476656,25.3177066167592,17.1211061821075,28.0693571602528,9.43131271913457,7,12.0,0.0878874372847486,10.143189717171301,0.258838401432145
762,2.97690142110465,0.139199294956722,44.713030272341605,55.8032257132148,55.946402922797496,41.6642041988051,7,11.0,0.122082477908231,10.112669207671999,0.31837115830296
817,4.41823386383079,0.270354879837334,26.705547126406397,16.643549651668803,26.705547126406397,10.3825441411059,10,10.0,0.089279175046237,8.603542970411969,0.209690180862864
852,3.08693044620762,0.1557115140516,13.472180016071599,14.213990263714098,14.837071504898,11.0938194281691,7,7.0,0.0795123225078094,11.531800889730198,0.204713304358364
965,2.05878010376062,0.040043612537068,52.947302114054004,54.5819161459184,58.1627230709196,52.0609243290221,6,6.0,0.0823320111105148,10.0329464922488,0.253463111950219
990,2.30619147402385,0.0535759060241018,57.6282675915248,66.0488922730019,66.0488922730019,57.6282675915248,5,5.0,0.123229422226394,9.66674441038557,0.37747911840760306
1002,3.8575320223907,0.287166175378607,27.8567765543682,24.4715996044001,27.8567765543682,11.0248947150841,11,11.0,0.13400165391123,10.1581304630928,0.396053158101664
1030,2.42058510578803,0.166187789975633,11.461490612736599,18.873337470786602,18.873337470786602,11.461490612736599,2,5.0,0.0745344661025125,11.3200722298706,0.087001860814309
1037,3.44146068905823,0.0724740524048903,60.1414998150196,51.3123016046747,60.1414998150196,50.5767343148384,11,11.0,0.129960895742933,8.96488823907591,0.42760945785877
1083,1.57282999225189,0.135291521566288,37.5040388593266,35.4020081492,37.5040388593266,35.0437703491107,6,6.0,0.0966097273313594,7.85713353717696,0.254249101241302
1110,2.25681419641025,0.0999780177485998,38.1945476826846,41.1885493744711,44.8853084030978,35.5191250578594,9,9.0,0.120312378290059,10.5469077500334,0.358606441542375
1133,3.62510420743247,0.333924832778255,25.0599281722833,11.5186279041729,25.0599281722833,10.2041775863691,10,10.0,0.163292393406276,9.549895856569359,0.420118868040821
1164,1.58602177921092,0.0166916317121462,82.47531366133221,83.1404549643143,87.5570582135262,82.47531366133221,5,5.0,0.092245615149915,9.724759000157471,0.341939364353126
1224,2.41420022777676,0.0506914052914715,28.2295368541882,33.745184915689,33.745184915689,24.6775584995067,5,9.0,0.120838916613631,11.0808963941607,0.160680189805225
1314,2.08723000555239,0.357343322091695,25.4851996711145,6.50945083480407,25.4851996711145,6.50945083480407,11,11.0,0.130877454445539,9.914630208164109,0.281706821278995
1365,2.02011553212626,0.131430258864906,32.6480995189535,22.510518238967098,32.6480995189535,21.7155111615749,6,6.0,0.118620402985252,7.68599241048481,0.328094383219387
1370,2.44076236520134,0.0601889408415774,57.1973614783686,57.513618556762104,60.2924507744648,50.6680534126728,5,8.0,0.0779940259113658,8.049546776457,0.272823979161385
1389,5.56694903049463,0.0603721683789913,58.78793212795421,72.8242175997691,78.88575641739159,52.012734569817,13,13.0,0.210041722880045,7.490628611120419,0.788764703948031
1465,2.3104315392233796,0.342439387600985,25.6320112359526,17.383877890569,25.6320112359526,9.22748933262716,11,14.0,0.0836785323483512,8.78240433279365,0.377769535563692
1505,3.8640625926191,0.331100815437022,30.6104557300279,7.07106781186548,30.6104557300279,7.07106781186548,9,15.0,0.12491415951539,9.75074500921473,0.334337668627074
1588,5.71122516567733,0.067265636209211,84.4842043675504,54.6370023779334,84.4842043675504,54.6370023779334,9,9.0,0.162847958799816,7.7575915667511,0.686408000925433
1679,3.7957625401472797,0.0910399632260561,58.6230759170591,45.351993813730004,58.6230759170591,45.351993813730004,6,6.0,0.12074773646588,7.18621077925336,0.397247792418838
1703,2.17020760850512,0.0820243927191194,45.024999634973895,44.8585486460402,45.7631887051136,43.01198227315821,3,7.0,0.0660079329815631,8.65047433570755,0.18705966730196
1721,3.51943022536275,0.118097539453676,24.563269522182104,17.101025860420698,24.563269522182104,13.7950269426332,6,9.0,0.0793746028399976,8.56527937462631,0.229541560687733
1810,3.6388521874879696,0.292886546938805,39.8246155034798,21.4709105535839,39.8246155034798,14.691964280265,12,12.0,0.25023940368863,9.7671487973877,0.747163720627227
1826,2.05656772889805,0.046696031774582494,63.5137780328017,63.431090687411604,63.5137780328017,59.648973168027,6,6.0,0.148625075552041,10.353934986907001,0.487756294738402
1897,2.22506724269882,0.164175870556481,23.9554581589857,22.2665235452424,23.9554581589857,21.3828048108615,5,5.0,0.109997383580864,8.901966880758632,0.308496536123598
1928,2.35330427785142,0.243180726011122,10.3436897887981,11.7878258601577,15.409320286236902,9.12448473170443,8,8.0,0.117939840984221,9.67718121040252,0.309132174380694
1989,2.54092429213159,0.0665883637610749,28.4329184214109,36.9091861351236,36.9091861351236,28.4329184214109,8,8.0,0.118958897848139,8.72644249367087,0.43857810454071694
2025,2.63168862182393,0.205046241838847,19.375933683313,9.97075622111727,19.375933683313,7.45109794934389,9,9.0,0.11729478391411,10.412601362918698,0.387418168955876
2032,2.23547746718449,0.0774509908035397,32.3021034194617,33.7615012126786,36.798146155336795,31.8539643933244,3,6.0,0.0693038971050322,8.890074572992669,0.252909370642284
2040,3.1285893791682007,0.0694305258800504,83.53089490811129,94.04786015641191,94.04786015641191,81.44082110991909,8,8.0,0.122475062246247,9.187031120049571,0.395987337939442
2106,4.36971765486415,0.310047794470253,26.248809496813397,11.2822571570651,26.248809496813397,9.486832980505142,13,13.0,0.100706679792107,9.920911826983788,0.515839068373298
2148,5.23765702665196,0.407855662104542,14.8136614661721,13.342685793860399,19.6408117067937,13.342685793860399,8,8.0,0.0815496432250167,8.14220912231698,0.30933592471552
2192,3.8427228126147903,0.187588520566825,10.644414639327099,9.97213269805244,16.5857174718846,9.97213269805244,4,8.0,0.0996301877123292,10.606922248774,0.267087660824723
2207,1.85881881758428,0.218293065080617,22.0907220343745,14.317821063276401,22.0907220343745,10.0498756211209,9,9.0,0.0992873654590892,9.82122635978534,0.497514225344407
2242,4.01816161369576,0.24586275689001,23.3714432580334,27.2184754778192,35.724928835187704,23.3714432580334,7,7.0,0.253099068972848,8.32768551618377,0.763107396268375
2301,2.79056903578509,0.104462235883373,23.9774760183578,14.6317937585463,23.9774760183578,9.95943985427764,11,11.0,0.0990150023089178,9.23808960804837,0.393668699139011
2313,4.65898237331816,0.164930816188854,23.609780168908202,12.9188283311356,23.609780168908202,12.9188283311356,6,6.0,0.16292532905419,11.992914492351101,0.420000081514536
2362,3.47375832690557,0.297343946368351,13.9588645507284,15.164289998392,15.164289998392,9.763077679322029,9,9.0,0.0862184142483981,10.952417669226199,0.103686072417917
2390,1.66021669745276,0.224788992490264,10.9708633746785,7.31570696985704,13.732159262039799,7.31570696985704,6,6.0,0.0810724791316504,11.593289262381699,0.0834531359867819
2428,2.3979157616563596,0.041938388026236,26.832815729997503,26.0768096208106,30.5286750449475,26.0768096208106,3,6.0,0.062413585128209,8.84031991429243,0.425090963313404
2465,3.31500654568698,0.307009939476025,23.500074174684702,13.3025069438113,23.500074174684702,9.30614485899726,10,10.0,0.145338442908576,9.647965199834061,0.381162290182815
2480,6.6300776969898,0.326895116751663,33.1209903233584,15.2315462117278,33.1209903233584,11.5423386960585,9,18.0,0.0837455865688087,8.79441947246946,0.508804290165695
2514,7.32307478115379,0.361293371997724,55.822973780942704,40.641845420521896,55.822973780942704,23.198098966775603,10,10.0,0.222961186648399,8.276844901789191,0.872329114289701
2534,2.62469823378801,0.726968313743047,21.9544984001002,8.06225774829855,22.803508501982797,7.07106781186548,10,10.0,0.108286978187208,10.0524850749777,0.38400366191186
2623,2.23407072168125,0.05126127804155169,43.1856457633784,29.916274045321003,43.1856457633784,29.916274045321003,6,6.0,0.137831460380646,8.20730203742154,0.579115763163705
2681,4.97454160337983,0.0396007141261188,39.6610640301039,47.6116765247863,50.7740090991444,39.6610640301039,7,7.0,0.0736670653926074,7.962149699717551,0.628354735498995
2699,4.40260534127907,0.279603699383227,21.8294641789288,10.929817437750499,21.8294641789288,8.76610960504494,7,9.0,0.100984109078099,12.3821399224177,0.299271633143213
2711,5.509514688333679,0.45367644409865,61.317540906850205,33.3739143263232,61.317540906850205,26.0117735272575,7,11.0,0.192331044327433,7.0669759082579695,0.77897513439369
2768,4.0956053673903,0.165806084226911,23.830059104432802,33.7740964069545,34.51901878904761,23.830059104432802,5,5.0,0.22957718933751,7.36911085672273,0.837901297429663
2774,4.2666892155151,0.164965866916671,55.979108527662,35.6023780727851,55.979108527662,24.3770782038676,6,6.0,0.162405170925121,8.79577116353953,0.752820685619225
3073,1.48493748593507,0.177060517180999,11.82633073813,17.572426876182803,20.9841723690383,11.82633073813,3,6.0,0.0611238485455349,10.0231479836348,0.0516692565692468
3074,1.84882228296341,0.0713516703777114,18.1635119423685,24.483351817181,26.2483313753084,15.4401515541788,7,7.0,0.0281630746382011,6.58494243761646,0.257523435702986
3099,3.5068535510245002,0.263693815247835,48.158144776796895,25.298221281346997,48.158144776796895,22.0675095649337,12,12.0,0.216955905206745,7.53918176101431,0.857232475944298
3110,2.06571176896326,0.129171712763346,37.0443811566627,25.605712598609,37.0443811566627,17.969405482049602,7,7.0,0.160271215665966,7.24721980759539,0.797604626708539
3122,5.10043339095608,0.737443741569858,21.574800202382196,12.1894333651052,25.760971754411997,12.1894333651052,9,9.0,0.132510687076461,7.5482721144000005,0.789332684226233
3143,2.80276186660745,0.085212654051817,29.541358491489703,27.8503151107545,30.1488061652576,27.8503151107545,5,6.0,0.0124610951761762,7.7426667908702,0.442983059842884
3149,4.95510277978417,0.300298257995407,38.029555369476206,19.4076150249312,38.029555369476206,14.267130170850502,11,11.0,0.04788002218373089,9.69238180341077,0.295013859647891
3188,2.02425763915822,0.0393975548917258,79.5064209421639,84.64170977443109,87.15160648685249,79.5064209421639,6,6.0,0.0524894849889848,7.80711209764228,0.215822352980941
3196,2.07790410141681,0.194623758624568,17.5759437978933,15.3122829322308,29.3922249991823,15.3122829322308,6,6.0,0.237046032744553,6.944557472259969,0.954396346336856
3365,2.2152868664096,0.0817085514933517,39.1735858578592,29.9951357063624,39.860513069566395,29.9951357063624,7,7.0,0.072668954259716,7.50710112757231,0.38624451943092
3434,3.5323370404124503,0.376028302905744,26.9171983527601,9.8262753419152,26.9171983527601,9.8262753419152,12,12.0,0.0874607528374016,9.30871690285776,0.353492835129223
3466,2.88788902995627,0.25350234592648,10.7917377450754,15.9922898367911,16.617905063208102,9.61642463815142,6,6.0,0.0707493006645906,9.07791167615258,0.405637301025859
3587,5.55349175194358,0.433627824443742,37.57658845611191,12.7618142213651,37.57658845611191,11.159235865129599,13,13.0,0.135912524144861,9.635476596549259,0.569029037976987
3623,7.18453111465974,0.0859269338308877,48.7197261589344,54.18050845749121,59.510465298908,48.7197261589344,6,9.0,0.0940216458539253,10.104520941810199,0.293567306300989
3642,4.19854822534539,0.288981119448482,12.423902393989598,13.293365078794,17.8297204459108,12.423902393989598,7,7.0,0.0867874922184835,10.7953175167835,0.191355219879761
3646,3.6821888150525295,0.0273243790305388,64.0091065380215,65.59876584497371,68.4728912370152,64.0091065380215,5,5.0,0.0692292539778675,11.260176392750699,0.187445689829601
3655,2.1877438099060202,0.51872614210332,11.231480418922699,15.0460758798304,20.549659914843602,11.231480418922699,7,7.0,0.105866683283937,10.822396640385199,0.390994243721997
3675,2.90197369975034,0.338577582718493,11.0440314751402,10.6066359726101,15.7347295773631,7.67113064949689,7,7.0,0.0665312277425662,8.77426561278293,0.238872411162267
3689,1.5707079478602701,0.0836285804733907,10.239212428142999,19.3433438687821,21.1952284786635,10.239212428142999,5,5.0,0.0527178317937862,6.60965947102388,0.0459807204467075
3700,5.63974721042725,0.38903459098461,23.6967146315603,9.4225663131503,23.6967146315603,9.4225663131503,10,10.0,0.0846591385403984,8.331300174121269,0.288232373991461
3711,1.2870195646948,0.128662960240112,10.79695050377,16.3795138695544,17.4371435266804,8.88204181278231,5,5.0,0.0616376288563378,10.9682278739604,0.155661594008575
3716,4.16552308644106,0.39541670498304304,49.235165037822505,22.732514250817104,49.235165037822505,16.8869415895417,12,12.0,0.12965507412936,8.95664616151314,0.644162628360225
3739,4.6267586548025195,0.618330820192774,26.096268640768,15.4400941742488,26.096268640768,12.7726618880935,9,9.0,0.0650628309283576,8.33067312014049,0.235459820222938
3742,3.32746170536147,0.15322655303705,55.5128047662934,25.4037211610085,55.5128047662934,22.8513309991503,12,12.0,0.119532814363412,6.685139342329499,0.568115186217302
